# Spin-echo spectrometer data file
# Start Time 12:38:28 11/9/2023

# System Status at:  12:38:28 11/9/2023
sample description: Microscope
comment:  
nozzle pressure: unused
nozzle temperature: +40.725
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  1.3600E-08
crystal temperature: 99.99
manipulator desired alpha: 88.500000
manipulator desired beta: 0.000000
manipulator desired gamma: 0.050000
specular ga: 
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.26956
Psourse 3.08219e-05
p303 0.242421
p3053 0.001414
wika1 0.985755
wika2 -0.001703
wika3 1.017400
comp 0.042801

Gas:He3

channeltron voltage: 

# scan_1d(1.000000,0.264030,0.284030,41,1,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:0.264030
# max_value:0.284030
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:41
# numloops:1
# count_time:1
# savemode:1
# angular data
# X flag position:10.000000
# Y flag position:10.000000
# loop number 1
3.249639e-10 2.640300e-01 2.640300e-01 0
2.928733e-10 2.645300e-01 2.645300e-01 0
3.330140e-10 2.650300e-01 2.650300e-01 0
3.831395e-10 2.655300e-01 2.655300e-01 0
3.589241e-10 2.660300e-01 2.660300e-01 0
2.889517e-10 2.665300e-01 2.665300e-01 0
3.176418e-10 2.670300e-01 2.670300e-01 0
4.030871e-10 2.675300e-01 2.675300e-01 0
3.820414e-10 2.680300e-01 2.680300e-01 0
2.757508e-10 2.685300e-01 2.685300e-01 0
2.982327e-10 2.690300e-01 2.690300e-01 0
3.951629e-10 2.695300e-01 2.695300e-01 0
3.952962e-10 2.700300e-01 2.700300e-01 0
3.036164e-10 2.705300e-01 2.705300e-01 0
2.826734e-10 2.710300e-01 2.710300e-01 0
3.604811e-10 2.715300e-01 2.715300e-01 0
4.099416e-10 2.720300e-01 2.720300e-01 0
3.311780e-10 2.725300e-01 2.725300e-01 0
2.733045e-10 2.730300e-01 2.730300e-01 0
3.426828e-10 2.735300e-01 2.735300e-01 0
4.231194e-10 2.740300e-01 2.740300e-01 0
3.332457e-10 2.745300e-01 2.745300e-01 0
2.653323e-10 2.750300e-01 2.750300e-01 0
3.386183e-10 2.755300e-01 2.755300e-01 0
4.127548e-10 2.760300e-01 2.760300e-01 0
3.542493e-10 2.765300e-01 2.765300e-01 0
2.765143e-10 2.770300e-01 2.770300e-01 0
3.028053e-10 2.775300e-01 2.775300e-01 0
3.878589e-10 2.780300e-01 2.780300e-01 0
3.824760e-10 2.785300e-01 2.785300e-01 0
3.121912e-10 2.790300e-01 2.790300e-01 0
2.940458e-10 2.795300e-01 2.795300e-01 0
3.664214e-10 2.800300e-01 2.800300e-01 0
3.861582e-10 2.805300e-01 2.805300e-01 0
3.159447e-10 2.810300e-01 2.810300e-01 0
2.916970e-10 2.815300e-01 2.815300e-01 0
3.660990e-10 2.820300e-01 2.820300e-01 0
3.871450e-10 2.825300e-01 2.825300e-01 0
3.260780e-10 2.830300e-01 2.830300e-01 0
3.043195e-10 2.835300e-01 2.835300e-01 0
3.429735e-10 2.840300e-01 2.840300e-01 0
# finish Time 12:39:47 11/9/2023
