# Spin-echo spectrometer data file
# Start Time 11:59:14 11/9/2023

# System Status at:  11:59:14 11/9/2023
sample description: Microscope
comment:  
nozzle pressure: unused
nozzle temperature: +40.693
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  1.3000E-08
crystal temperature: 99.99
manipulator desired alpha: 88.500000
manipulator desired beta: 0.000000
manipulator desired gamma: 0.050000
specular ga: 
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.235865
Psourse 3.08219e-05
p303 0.242421
p3053 0.001442
wika1 0.982058
wika2 -0.004152
wika3 1.017400
comp 0.042801
Gas:He3

channeltron voltage: 

# scan_1d(1.000000,0.264030,0.284030,41,1,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:0.264030
# max_value:0.284030
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:41
# numloops:1
# count_time:1
# savemode:1
# angular data
# X flag position:10.000000
# Y flag position:10.000000
# loop number 1
3.906404e-10 2.640300e-01 2.640300e-01 0
3.878085e-10 2.645300e-01 2.645300e-01 0
3.848271e-10 2.650300e-01 2.650300e-01 0
3.946564e-10 2.655300e-01 2.655300e-01 0
3.890941e-10 2.660300e-01 2.660300e-01 0
3.985302e-10 2.665300e-01 2.665300e-01 0
3.851940e-10 2.670300e-01 2.670300e-01 0
3.863022e-10 2.675300e-01 2.675300e-01 0
3.915812e-10 2.680300e-01 2.680300e-01 0
3.861344e-10 2.685300e-01 2.685300e-01 0
3.837616e-10 2.690300e-01 2.690300e-01 0
3.863459e-10 2.695300e-01 2.695300e-01 0
3.974622e-10 2.700300e-01 2.700300e-01 0
3.811973e-10 2.705300e-01 2.705300e-01 0
3.824445e-10 2.710300e-01 2.710300e-01 0
3.721566e-10 2.715300e-01 2.715300e-01 0
3.916655e-10 2.720300e-01 2.720300e-01 0
3.945934e-10 2.725300e-01 2.725300e-01 0
3.844787e-10 2.730300e-01 2.730300e-01 0
3.847304e-10 2.735300e-01 2.735300e-01 0
3.837931e-10 2.740300e-01 2.740300e-01 0
3.873238e-10 2.745300e-01 2.745300e-01 0
3.794224e-10 2.750300e-01 2.750300e-01 0
3.890366e-10 2.755300e-01 2.755300e-01 0
3.818761e-10 2.760300e-01 2.760300e-01 0
3.970573e-10 2.765300e-01 2.765300e-01 0
3.908548e-10 2.770300e-01 2.770300e-01 0
3.843302e-10 2.775300e-01 2.775300e-01 0
3.863885e-10 2.780300e-01 2.780300e-01 0
3.972911e-10 2.785300e-01 2.785300e-01 0
3.881831e-10 2.790300e-01 2.790300e-01 0
3.835100e-10 2.795300e-01 2.795300e-01 0
3.839001e-10 2.800300e-01 2.800300e-01 0
3.972010e-10 2.805300e-01 2.805300e-01 0
3.943549e-10 2.810300e-01 2.810300e-01 0
3.881032e-10 2.815300e-01 2.815300e-01 0
3.820157e-10 2.820300e-01 2.820300e-01 0
3.839575e-10 2.825300e-01 2.825300e-01 0
3.877675e-10 2.830300e-01 2.830300e-01 0
3.849599e-10 2.835300e-01 2.835300e-01 0
3.781955e-10 2.840300e-01 2.840300e-01 0
# finish Time 12:0:34 11/9/2023
